FID,OBJECTID,Intersecti,All_Motori,F__Truck,Pedestrian,Cyclist_No,Data_Colle
83,83,BAY ST @ WELLINGTON ST,39824,4.60%,1044,37,2016-Jan-20
84,84,BAYCREST DR @ WALKLEY RD,21347,4.47%,520,7,2016-Nov-16
85,85,BAYSHORE DR @ WOODRIDGE CRES N,10613,3.61%,440,21,2016-Jul-21
86,86,BAYSHORE DR @ WOODRIDGE CRES S,16560,4.07%,705,3,2016-Mar-30
87,87,BAYSWATER AVE @ BEECH ST,4900,1.61%,169,84,2016-Aug-31
88,88,BAYSWATER AVE @ GLADSTONE AVE,9566,2.28%,333,434,2016-Jul-27
89,89,BAYSWATER AVE @ LAUREL ST,6581,1.57%,260,140,2016-Aug-31
90,90,BAYSWATER AVE @ SHERWOOD DR,5414,1.21%,217,294,2016-Aug-11
91,91,BAYSWATER AVE @ SOMERSET ST,15740,3.24%,1745,689,2016-Sep-07
92,92,BAYSWATER AVE @ YOUNG ST,5346,1.35%,227,132,2016-Aug-31
93,93,BAYSWATER PL @ BEECH ST,4900,1.61%,169,84,2016-Aug-31
94,94,BAYVIEW RD @ SCOTT ST/ALBERT ST,21386,14.12%,901,172,2016-Sep-07
95,95,BEARHILL RD @ MARCH RD,9963,5.71%,3,4,2016-Jul-05
96,96,BEATRICE DR @ DEERFOX DR,4889,2.58%,261,27,2016-Oct-18
97,97,BEAUSOLEIL DR @ YORK ST,3107,2.58%,1111,237,2016-Jun-08
98,98,BEAUSOLEIL DR @ YORK ST,3493,2.45%,1332,269,2016-Sep-21
99,99,BEAVERPOND DR @ BLAIR RD,21550,5.44%,33,1,2016-Jan-29
100,100,BECKWITH RD @ MARLOWE CRES,729,4.49%,188,7,2016-Feb-04
101,101,BECKWITH RD @ MARLOWE CRES,1788,6.32%,230,94,2016-May-17
102,102,BEECH ST @ PRESTON ST,16847,4.89%,1764,323,2016-Sep-07
103,103,BELCOURT BLVD @ LOWES SC/210 S OF INNES RD,3843,2.81%,29,1,2016-Jan-19
104,104,BELFAST RD @ COVENTRY RD,23373,3.16%,609,58,2016-Nov-08
105,105,BELFAST RD @ ST. LAURENT BLVD,44426,7.94%,83,3,2016-Jan-19
106,106,BELFAST RD @ TREMBLAY RD,16711,4.89%,165,87,2016-Nov-08
107,107,BELLMAN DR @ MCCLELLAN RD,3733,3.86%,43,55,2016-Jun-22
108,108,BELMONT @ WILLARD ST,2214,2.52%,614,106,2016-Oct-19
109,109,BERRIGAN DR @ LONGFIELDS DR,17641,3.13%,906,9,2016-Jun-13
110,110,BESSERER ST @ NICHOLAS ST,8091,4.82%,3489,18,2016-Nov-30
111,111,BLACKBURN BYPASS @ NAVAN RD,31046,4.64%,0,10,2016-Jul-26
112,112,BLACKBURN BYPASS @ NAVAN RD,33704,4.47%,2,15,2016-Aug-31
113,113,BLAIR RD @ INNES RD,57178,4.07%,118,1,2016-Jan-28
114,114,BOLTON ST @ DALHOUSIE ST,8397,2.60%,613,30,2016-Nov-30
115,115,BOOTH ST @ CARLING AVE,20027,2.93%,954,144,2016-Jul-26
116,116,BOOTH ST @ ECCLES ST S,8860,1.73%,524,177,2016-Sep-01
117,117,BOOTH ST @ GLADSTONE AVE,17213,2.60%,861,455,2016-Jul-27
118,118,BOOTH ST @ NORMAN ST,9115,2.38%,452,253,2016-Sep-01
119,119,BOOTH ST @ ORANGEVILLE ST,11774,2.07%,652,254,2016-Sep-01
120,120,BOOTH ST @ OTTAWA RIVER PKWY/WELLINGTON ST,50013,2.86%,374,120,2016-Sep-01
121,121,BOOTH ST @ PRIMROSE AVE,6051,1.72%,408,123,2016-Sep-01
122,122,BOOTH ST @ RAYMOND ST,15980,2.59%,665,248,2016-Sep-01
123,123,BOOTH ST @ SOMERSET ST,15019,2.98%,1797,598,2016-Aug-18
124,124,BOOTH ST @ WILLOW ST,9254,1.71%,389,157,2016-Sep-01
125,125,BOTELER ST @ SUSSEX DR,32319,3.47%,467,26,2016-Dec-06
126,126,BOUNDARY RD @ MITCH OWENS RD,10030,6.86%,0,4,2016-Jun-28
127,127,BOUNDARY RD @ RUSSELL RD,7508,6.18%,17,15,2016-Jul-20
128,128,BOURASSA ST @ ST. LAURENT BLVD,45607,4.85%,544,4,2016-Mar-09
129,129,BOWESVILLE RD/HIGH RD @ LEITRIM RD,15314,4.66%,1,2,2016-Apr-26
130,130,BRADY AVE @ FORESTBROOK ST,1359,1.81%,111,22,2016-Jul-06
131,131,BRANTHAVEN ST N @ LAKERIDGE DR,3124,3.32%,219,12,2016-Sep-07
132,132,BREN-MAUR RD @ JOCKVALE RD,16472,2.85%,23,60,2016-Jun-28
133,133,BRIAN COBURN BLVD @ ESPRIT DR,11005,4.65%,244,66,2016-Jun-16
134,134,BRIAN COBURN BLVD @ GERRY LALONDE DR,11453,4.74%,36,24,2016-Oct-12
135,135,BRIAN COBURN BLVD @ STRASBOURG ST,11277,7.73%,169,18,2016-Oct-12
136,136,BRIAN COBURN BLVD @ TENTH LINE RD,22758,4.06%,63,14,2016-Oct-26
137,137,BRIAN GOOD AVE @ SUMMERHILL ST,1912,7.71%,29,10,2016-Jul-07
138,138,BRIAN GOOD AVE @ SUMMERHILL ST,2531,7.63%,45,10,2016-Sep-14
139,139,BRIDGE ST/MAPLE AVE @ MANOTICK MAIN ST,19135,4.72%,59,3,2016-Mar-08
140,140,BRIDGESTONE DR @ EAGLESON RD,15618,3.34%,4,3,2016-Apr-27
141,141,BRIDGESTONE DR/STEEPLE CHASE DR @ STONEHAVEN D,13098,3.65%,460,9,2016-Jun-13
142,142,BRIDLE PARK DR @ STONEMEADOW DR,13827,2.88%,532,20,2016-Sep-28
143,143,BRIDLE PATH DR @ CROSSCUT TER/PIMLICO CRES S,8716,2.76%,367,40,2016-Sep-08
144,144,BRIDLE PATH DR @ EQUUS WAY E/HUNTER'S POINT CR,7473,3.41%,260,52,2016-Nov-08
145,145,BRIDLE PATH DR @ HUNTER'S POINT CRES W,7138,2.18%,111,74,2016-Aug-04
146,146,BRIDLE PATH DR @ HUNTER'S POINT CRES W,6912,4.05%,185,67,2016-Oct-05
147,147,BRONSON AVE @ COMMISSIONER ST/SLATER ST,15972,14.00%,1209,117,2016-Aug-03
148,148,BRONSON AVE @ GLADSTONE AVE,32022,3.29%,1568,495,2016-Jul-27
149,149,BRONSON AVE @ SOMERSET ST,24966,3.76%,2801,516,2016-Aug-18
150,150,BRONSON AVE/BRONSON/HERON RAMP 35 @ HERON RD,31411,4.35%,293,57,2016-Aug-24
151,151,BRUYERE ST @ DALHOUSIE ST,9331,3.13%,1438,48,2016-Nov-30
152,152,BRUYERE ST @ SUSSEX DR,23049,4.87%,1500,41,2016-Dec-06
153,153,BUENA VISTA RD @ LISGAR RD,2416,0.81%,72,73,2016-Jun-08
154,154,BULLOCK AVE @ CENTENNIAL BLVD,1034,3.33%,47,54,2016-Jul-07
155,155,BURNSIDE AVE @ HINCHEY AVE,4369,1.61%,340,114,2016-Oct-19
156,156,BYRON AVE @ CHURCHILL AVE,15675,2.45%,516,193,2016-Aug-25
157,157,BYRON AVE @ ISLAND PARK DR,21931,0.59%,372,46,2016-Mar-09
158,158,BYRON AVE @ KIRKWOOD AVE,16696,3.39%,429,250,2016-Aug-24
159,159,BYRON AVE @ LOCKHART AVE E,2884,0.97%,75,158,2016-Jul-26
160,160,BYRON AVE @ LOCKHART AVE W,1866,1.32%,90,150,2016-Jul-26
161,161,BYRON AVE @ REDWOOD AVE,3407,1.11%,158,216,2016-Jul-26
162,162,BYRON AVE @ ROOSEVELT AVE,7808,0.97%,816,508,2016-Jun-21
163,163,BYRON AVE @ SHERBOURNE RD,3958,0.95%,64,163,2016-Jul-26
164,164,CAHILL DR @ HUNT CLUB RD,32646,4.99%,38,2,2016-Jan-20
165,165,CAHILL DR @ HUNT CLUB RD,30102,4.25%,41,20,2016-Aug-11
166,166,CAMBRIAN RD @ KILBIRNIE DR/TUCANA WAY,10554,3.26%,505,5,2016-Sep-14
167,167,CAMERON AVE @ WENDOVER AVE,1266,2.88%,131,280,2016-Sep-08
168,168,CAMPEAU DR @ HAWKSTONE GT,12531,2.46%,347,6,2016-Dec-01
169,169,CAMPEAU DR @ TERRY FOX DR,32813,3.11%,84,3,2016-Dec-01
170,170,CANADIAN SHIELD AVE @ GREAT LAKES AVE,1026,1.60%,105,5,2016-Jul-05
171,171,CARLING AVE @ BAYSHORE DR/BIRCHDALE AVE,27669,2.11%,326,14,2016-Mar-23
172,172,CARLING AVE @ BROADVIEW AVE,37660,2.60%,1091,8,2016-Mar-23
173,173,CARLING AVE @ CHAMPAGNE AVE,21879,3.45%,621,36,2016-Feb-04
174,174,CARLING AVE @ CHURCHILL AVE,33878,3.25%,535,45,2016-Jul-26
175,175,CARLING AVE @ CIVIC HOSPITAL,24744,4.07%,656,10,2016-Jan-27
176,176,CARLING AVE @ CLYDE AVE/COLE AVE,35384,2.72%,386,8,2016-Jan-27
177,177,CARLING AVE @ CONNAUGHT AVE,36894,2.07%,371,31,2016-Jul-26
178,178,CARLING AVE @ CORKSTOWN RD,19213,1.51%,48,89,2016-Jul-21
179,179,CARLING AVE @ CROYDON AVE,36751,2.00%,404,14,2016-Aug-25
180,180,CARLING AVE @ CRYSTAL BEACH DR,19030,1.54%,20,26,2016-Apr-27
181,181,CARLING AVE @ EDGEWORTH AVE,23596,2.76%,747,5,2016-Feb-04
182,182,CARLING AVE @ FAIRLAWN AVE/WOODROFFE AVE E,35440,3.71%,499,40,2016-Jul-26
183,183,CARLING AVE @ GRANDVIEW RD/NORTEL ENTRANCE,24733,2.04%,43,86,2016-Mar-30
184,184,CARLING AVE @ GRENON AVE,25258,1.75%,775,20,2016-Aug-25
185,185,CARLING AVE @ HOLLAND AVE,37645,3.63%,1109,29,2016-Feb-09
186,186,CARLING AVE @ IROQUOIS RD,26978,2.44%,735,5,2016-Jan-27
187,187,CARLING AVE @ KEMPSTER AVE/FAMOUS PLAYERS THEA,24475,1.51%,580,8,2016-Aug-25
188,188,CARLING AVE @ KIRKWOOD AVE S,39305,3.75%,432,32,2016-May-04
189,189,CARLING AVE @ MAITLAND AVE/SHERBOURNE RD,44073,2.23%,533,5,2016-Jan-12
190,190,CARLING AVE @ MAITLAND AVE/SHERBOURNE RD,38273,2.22%,532,50,2016-Jul-26
191,191,CARLING AVE @ MERIVALE RD,33814,3.12%,687,113,2016-Aug-04
192,192,CARLING AVE @ MOODIE DR/JAMES CUMMINGS AVE W,26817,1.88%,30,65,2016-Mar-30
193,193,CARLING AVE @ PARKDALE AVE,31997,3.19%,613,17,2016-Jan-12
194,194,CARLING AVE @ PINECREST  RD/GREENVIEW AVE,34830,1.80%,270,27,2016-Jul-21
195,195,CARLING AVE @ PRESTON ST,34239,3.25%,1039,402,2016-Jul-26
196,196,CARLING AVE @ RICHMOND RD,52119,2.29%,236,9,2016-Jan-12
197,197,CARLING AVE @ SCRIVENS ST,24535,1.65%,591,13,2016-Aug-25
198,198,CARLING AVE @ SHERWOOD DR,23068,3.47%,403,147,2016-Aug-25
199,199,CARLING AVE @ VISCOUNT AVE,22889,3.49%,560,21,2016-Nov-16
200,200,CARLING AVE @ WOODROFFE AVE W,40663,2.44%,265,2,2016-Jan-12
201,201,CARLING AVE EB @ SAIGON CRT,16136,2.95%,48,21,2016-May-04
202,202,CARLING AVE WB @ SAIGON CRT,17664,2.91%,146,28,2016-May-04
203,203,CARLING AVE/STATION RD @ MARCH RD,41502,2.18%,122,117,2016-Aug-10
204,204,CARLINGWOOD SC/118 N OF CARLING AVE @ IROQUOIS RD,4248,2.85%,122,32,2016-Aug-25
205,205,CARP RD @ HAZELDEAN RD,27336,3.72%,127,1,2016-Mar-23
206,206,CARTWRIGHT RD @ VICTORIA ST,3299,5.79%,0,0,2016-Dec-01
207,207,CASTLEFRANK RD @ HAZELDEAN RD,35058,2.97%,306,5,2016-Nov-22
208,208,CASTLESTONE WAY @ WILLOW CREEK CIRC,594,4.14%,17,15,2016-Jul-05
209,209,CATHERINE ST @ ELGIN ST,14387,3.26%,1427,419,2016-May-11
210,210,CEDARVIEW RD @ FALLOWFIELD RD,16921,3.74%,7,1,2016-Feb-11
211,211,CEDARVIEW RD @ JOCKVALE RD,9607,3.62%,94,0,2016-Jan-13
212,212,CEDARVIEW RD @ MARAVISTA DR,5080,3.16%,335,24,2016-Jun-21
213,213,CEDARWOOD DR @ WALKLEY RD,17633,2.26%,276,27,2016-Aug-03
214,214,CELTIC RIDGE CRES/MARCONI AVE @ MAXWELL BRIDGE,2543,3.68%,321,50,2016-Oct-19
215,215,CELTIC RIDGE CRES/STREAMSIDE CRES @ MARCONI AV,2494,4.75%,149,0,2016-Nov-22
216,216,CENTRAL PARK DR N @ MERIVALE RD,30183,2.97%,232,3,2016-Mar-03
217,217,CENTRAL PARK DR S @ MERIVALE RD,30006,3.03%,291,9,2016-Mar-09
218,218,CENTREPOINTE DR @ 90 N OF EPSILON WAY,10142,1.85%,431,30,2016-Nov-08
219,219,CENTREPOINTE DR @ HEMMINGWOOD WAY E,11883,1.67%,208,18,2016-Apr-27
220,220,CENTREPOINTE DR @ TALLWOOD DR,12591,1.72%,236,35,2016-Nov-08
221,221,CHAMPAGNE AVE @ HICKORY ST,2673,4.90%,436,15,2016-Nov-23
222,222,CHAMPAGNE AVE @ WELLINGTON ST,18439,19.46%,860,20,2016-Sep-07
223,223,CHAMPLAIN ST @ JEANNE D'ARC BLVD,12604,3.29%,165,0,2016-Nov-23
224,224,CHAMPLAIN ST @ PLACE D'ORLEANS DR,19174,7.04%,163,18,2016-Nov-08
225,225,CHAPEL ST @ LAURIER AVE,10590,3.15%,1451,34,2016-Jan-20
226,226,CHAPMAN BLVD @ HAIG DR,6176,2.60%,236,98,2016-Oct-05
227,227,CHAPMAN MILLS DR @ LONGFIELDS DR,14449,3.58%,175,20,2016-Apr-27
228,228,CHAREST WAY @ PORTOBELLO BLVD,4925,2.83%,87,39,2016-Aug-04
229,229,CHARLEMAGNE BLVD @ VALIN ST,8941,2.57%,195,16,2016-Jun-21
230,230,CHARLOTTE ST @ STEWART ST,11604,2.78%,668,26,2016-Jan-20
231,231,CHARTRAND AVE @ KENNEDY LANE,2722,4.28%,43,0,2016-Jan-13
232,232,CHERRY DR @ LIARD ST,955,3.63%,21,22,2016-Sep-14
233,233,CHESLEY ST @ BANK ST,16911,3.58%,418,544,2016-Jul-07
234,234,CHINIAN ST/TRIGORIA CRES @ GERRY LALONDE DR,1864,5.28%,62,0,2016-Oct-26
235,235,CHURCHILL AVE @ CLARE ST/PRINCETON AVE,11067,4.95%,190,326,2016-Jul-13
236,236,CHURCHILL AVE @ RICHMOND RD,23103,3.42%,2210,173,2016-Oct-26
237,237,CHURCHILL AVE @ WILMONT AVE,11300,4.48%,237,14,2016-Jan-13
238,238,CLARE ST @ KIRKWOOD AVE,13839,4.55%,245,111,2016-Aug-24
239,239,CLARENCE ST @ DALHOUSIE ST,10328,4.54%,3865,54,2016-Nov-30
240,240,CLARENCE ST @ KING EDWARD AVE,24509,10.22%,711,16,2016-Mar-03
241,241,CLARENCE ST @ WURTEMBURG ST,855,2.34%,75,3,2016-Mar-03
242,242,CLAUDE ST @ GARDENVALE RD,1117,4.40%,106,33,2016-Sep-08
243,243,CLAYMOR AVE @ DYNES RD,2876,1.03%,192,99,2016-Aug-24
244,244,CLEARVIEW AVE @ ISLAND PARK DR,17224,0.81%,81,428,2016-Jul-06
245,245,CLEARVIEW AVE @ REMIC AVE,1771,5.14%,21,10,2016-Nov-22
246,246,CLEMENTINE BLVD @ HERON RD,33992,3.18%,303,15,2016-Nov-16
247,247,CLOVER ST @ HERON RD,32934,2.79%,565,20,2016-Nov-16
248,248,COBOURG ST @ RIDEAU ST,14354,6.92%,1158,367,2016-Jun-08
249,249,COBOURG ST @ RIDEAU ST,16316,6.26%,1151,542,2016-Sep-21
250,250,COLDREY AVE @ KIRKWOOD AVE,15407,3.72%,162,79,2016-Aug-24
251,251,COLOMBINE DRWY @ PARKDALE AVE,16364,1.10%,395,156,2016-Oct-19
252,252,COLONEL BY DR @ HOG'S BACK RD,24776,0.77%,18,72,2016-Aug-24
253,253,COLONEL BY DR @ SENECA ST,13540,0.54%,6,2,2016-Nov-23
254,254,COLONY HEIGHTS RD @ BANKFIELD RD,7650,6.43%,0,0,2016-Feb-04
255,255,COLUMBUS AVE @ QUILL ST,912,9.89%,130,20,2016-Apr-26
256,256,CONROY RD @ DAVIDSON RD N,13068,4.89%,1,4,2016-Jun-02
257,257,CONROY RD @ QUEENSDALE AVE,12316,4.64%,1,14,2016-Jun-28
258,258,CONROY RD @ WALKLEY RD,41434,3.60%,220,2,2016-Feb-04
259,259,CONROY RD S @ DAVIDSON RD,12650,4.90%,0,7,2016-Jun-02
260,260,COOPER ST @ ELGIN ST,15217,4.58%,9138,453,2016-May-11
261,261,COOPER ST @ KENT ST,12115,2.92%,2766,237,2016-May-05
262,262,CORONATION AVE @ RUSSELL RD,10714,3.78%,87,109,2016-Jul-20
263,263,COUNTY RD 29 @ MADAWASKA BLVD,7417,3.67%,0,2,2016-Oct-04
264,264,COVENTRY RD @ VANIER PKWY,53506,2.43%,202,42,2016-Aug-03
265,265,CRAIG HENRY DR @ KNOXDALE RD,10082,2.65%,51,3,2016-Apr-07
266,266,CREEKVIEW WAY @ FINDLAY CREEK DR,5381,5.62%,16,0,2016-Feb-17
267,267,CRESTHAVEN DR @ GROVEHURST DR,2213,7.63%,155,27,2016-Oct-12
268,268,CRESTWAY DR @ LEIKIN DR,9156,2.65%,309,17,2016-Jun-02
269,269,CROWNHILL ST @ SUMAC ST,936,5.42%,82,4,2016-Feb-04
270,270,CROWNRIDGE DR @ HOPE SIDE RD,9116,4.30%,13,17,2016-Jun-28
271,271,CROYDON AVE @ RICHMOND RD,17164,3.44%,854,84,2016-Aug-11
272,272,CUMBERLAND ST @ MURRAY ST,12311,3.49%,1453,114,2016-Nov-30
273,273,CUMMINGS AVE @ WILSON ST,3560,3.82%,141,36,2016-Jul-21
274,274,CYCLONE TAYLOR BLVD @ HUNTMAR DR,9183,2.37%,35,21,2016-Aug-17
275,275,CYCLONE TAYLOR BLVD @ PALLADIUM DR,10009,4.65%,43,23,2016-Aug-17
276,276,DALHOUSIE ST @ MURRAY ST,13824,4.34%,3812,64,2016-Nov-30
277,277,DALHOUSIE ST @ ST. PATRICK ST,13209,7.63%,2579,77,2016-Nov-30
278,278,DALHOUSIE ST @ YORK ST,12362,4.73%,4586,64,2016-Nov-30
279,279,DALMENY RD @ DALMENY RD EXTENSION,2864,5.15%,0,0,2016-Nov-03
280,280,DEAKIN ST @ PRINCE OF WALES DR,30087,2.24%,12,5,2016-Apr-06
281,281,DEAVY WAY @ PRESTONE DR,1939,4.98%,35,1,2016-Jan-13
282,282,DEER PARK RD @ MEADOWLANDS DR,11908,3.03%,235,43,2016-Apr-13
283,283,DES EPINETTES AVE @ PRESTWICK DR,9368,2.82%,397,74,2016-Jun-16
284,284,DEVINE RD @ DUNNING RD,1349,2.31%,2,15,2016-Jul-20
285,285,DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD,7977,4.44%,0,38,2016-Jul-12
286,286,DONALD ST @ ST. LAURENT BLVD,45719,3.86%,913,6,2016-Jan-20
287,287,DRIFTWOOD CRES @ VOYAGEUR DR E,2652,1.05%,154,26,2016-Oct-12
288,288,DUMAURIER AVE @ PINECREST RD,27271,2.27%,192,20,2016-Aug-25
289,289,DUMAURIER AVE @ RICHMOND RD,14518,3.73%,216,34,2016-Aug-11
290,290,DUNDONALD DR @ GREENBANK RD,8196,5.62%,97,0,2016-Jan-27
291,291,DUNROBIN RD @ MARCH RD,13745,2.71%,3,3,2016-Aug-04
292,292,DUNROBIN RD @ THOMAS A. DOLAN PKWY,7551,3.13%,4,11,2016-Aug-04
293,293,DUSSERE ST @ COUSINEAU ST,783,2.09%,56,20,2016-Jul-21
