OBJECTID__,Intersection,All_Motorized_Vehicles_AADT_24H,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_factored,Date_Collected,X,Y,LAT,LONG,ObjectId
20,CENTREPOINTE DR @ HEMMINGWOOD WAY W,5652,0.0277,151,36,2021-Mar-30,361701.6805,5022999.5,45.34463407,-75.77388792,20
21,BARRAN ST @ FALLOWFIELD RD,15369,0.0391,11,33,2021-Mar-30,362292.6808,5016244.438,45.28380389,-75.76713077,21
22,WELLINGTON ST @ BAYSWATER AVE/BAYVIEW RD,4971,0.052,411,102,2021-Mar-30,365760.7031,5030012.577,45.40739533,-75.72123039,22
23,ROSSIGNOL CRES W @ WINCANTON DR W,1009,0.0253,34,16,2021-Mar-31,382706.7425,5039355.599,45.48977494,-75.50329547,23
24,FAIRBANKS AVE @ ROGER RD,965,0.0321,60,12,2021-Mar-31,370742.7125,5028915.552,45.39707307,-75.65773884,24
25,ROSSIGNOL CRES W @ WINCANTON DR W,792,0.029,54,16,2021-May-11,382706.7425,5039355.599,45.48977494,-75.50329547,25
26,REID AVE @ SHERWOOD DR,2157,0.0144,353,69,2021-May-11,365696.7044,5028869.557,45.39711627,-75.72218904,26
27,CAPITAL DR @ GRENFELL CRES,1326,0.0865,10,39,2021-May-27,365826.6979,5020437.483,45.32123463,-75.72156992,27
28,GRENFELL CRES @ SLACK RD,7763,0.0547,14,25,2021-May-27,365825.6998,5020853.493,45.32497793,-75.72153139,28
29,GRENFELL CRES @ WOODROFFE AVE,20768,0.0198,31,163,2021-May-27,364543.6883,5019227.476,45.31045743,-75.73807989,29
30,INNES RD @ PROVENCE AVE,20407,0.0328,376,57,2021-Sep-08,386110.1887,5037083.96,45.46894884,-75.46013641,30
31,COUNTRY WALK DR N @ DES SAPINS GDN N,290,0.0503,19,11,2021-Sep-30,380068.7404,5035737.58,45.45751236,-75.5375943,31
32,HENLEY ST @ ALPINE AVE,891,0.0294,220,11,2021-May-04,360673.676,5024493.525,45.3581599,-75.78683625,32
33,FERN CASEY ST @ LOCUST RDG/DE LA CREVASSE RD,4511,0.0465,179,80,2021-Jun-02,382521.0012,5033475.09,45.4368879,-75.50660113,33
34,WHITEWATER ST @ GROVEMONT DR,498,0.0363,134,44,2021-Apr-27,366646.4323,5014604.03,45.26867403,-75.7118422,34
35,ATLANTIS AVE @ LANARK AVE,544,0.0037,139,246,2021-Jul-31,362836.6905,5028741.545,45.39620735,-75.75873084,35
36,BANK ST @ FINDLAY CREEK SC/310 S OF FINDLAY CREEK DR,20339,0.0695,109,14,2021-Sep-29,375967.53,5020175.26,45.31792049,-75.5922707,36
37,CARLING AVE @ MEATH ST,15066,0.0379,85,17,2021-Oct-07,364467.6966,5027452.54,45.38447204,-75.73805663,37
38,ANTOCHI LANE @ MANOTICK MAIN ST,7786,0.0375,39,41,2021-Oct-06,369646.3459,5009135.392,45.21919755,-75.67432897,38
39,CROWNHILL ST @ SUMAC ST,1180,0.0444,109,8,2021-Oct-05,374530.72,5034138.586,45.44370017,-75.60862257,39
40,ARROWWOOD DR @ BAYWOOD DR,1472,0.0412,237,44,2021-Oct-05,351240.1148,5012230.251,45.24850005,-75.90838664,40
41,KIMPTON DR @ OVERLAND DR,2350,0.0279,262,68,2021-Oct-05,349048.3159,5015120.361,45.27464757,-75.93604977,41
42,JEANNE D'ARC BLVD @ CEDAR MILLS RD/CHAMPNEUF D,18714,0.0236,45,9,2021-Oct-13,381215.7517,5036278.582,45.46225536,-75.52284637,42
43,EAGLESON RD @ OTTAWA ST,6873,0.0584,2,2,2021-Oct-13,358562.626,5006062.345,45.19247852,-75.81577543,43
44,CHURCHILL AVE @ RICHMOND RD,19918,0.0439,1573,121,2021-Nov-02,363227.6938,5028292.551,45.39213486,-75.75379038,44
45,BOWESVILLE RD/EMERALD LINKS DR W @ MITCH OWENS,14147,0.1021,1,1,2021-Nov-16,374182.7399,5013708.443,45.25991269,-75.61593705,45
46,EMERALD LINKS DR E @ MITCH OWENS RD,13259,0.1093,3,2,2021-Nov-16,374629.7493,5013997.441,45.26246879,-75.6102014,46
47,PRINCE OF WALES DR @ RIDEAU HEIGHTS LANE,27664,0.0332,7,27,2021-Nov-16,367478.7124,5022691.491,45.34137024,-75.70021417,47
48,DONWEL DR @ STEPHANIE ANNE DR/ASHLEY CARDILL L,994,0.055,36,2,2021-Nov-16,378836.623,5013128.077,45.25421642,-75.55673235,48
49,HARMER AVE @ ISLAND PARK DR,6550,0.0083,167,65,2021-Nov-24,365188.6986,5028144.547,45.39063679,-75.72876575,49
50,MONTGOMERY ST @ SELKIRK ST,1704,0.0549,257,57,2021-Apr-07,370011.7135,5032784.585,45.43195362,-75.66656267,50
51,MONTREAL RD @ VANIER PKWY,25519,0.0333,920,40,2021-Apr-22,370072.7098,5033065.592,45.43447631,-75.66574594,51
52,MONTREAL RD @ VANIER PKWY,24112,0.0156,989,164,2021-Apr-24,370072.7098,5033065.592,45.43447631,-75.66574594,52
53,BYRON AVE @ WAVELL AVE,1064,0.0431,397,85,2021-Apr-20,362189.4241,5027364.5,45.38387023,-75.76715747,53
54,BISHOPS MILLS DR @ EDENVALE DR,831,0.0355,101,5,2021-Nov-25,352358.4466,5020207.541,45.32020719,-75.89337613,54
55,ELM CRES N @ STITTSVILLE MAIN ST,13621,0.0362,57,0,2021-Nov-25,350441.9909,5013102.945,45.25640508,-75.9184735,55
56,MARIELLE CRT @ RICHMOND RD,13760,0.0327,63,1,2021-Nov-25,359943.6668,5024259.512,45.35611205,-75.79617937,56
57,CARLSBAD LANE @ SABOURIN RD,255,0.1857,5,0,2021-Nov-30,388299.8205,5025382.49,45.36341232,-75.43412102,57
58,DEVINE RD @ ROCKDALE RD,5035,0.0517,1,0,2021-Nov-30,394887.8766,5024096.456,45.3510264,-75.35027495,58
59,PLEASANT PARK RD @ RODNEY CRES,3977,0.0293,81,54,2021-Nov-30,369907.8501,5028415.896,45.39265547,-75.66846702,59
60,FARMERS WAY @ RUSSELL RD,2708,0.035,0,0,2021-Nov-30,382109.787,5026269.506,45.37210307,-75.51298602,60
61,SCOTT ST @ ROCKHURST RD,7507,0.0592,24,11,2021-Dec-01,364022.6915,5029158.555,45.39986022,-75.74353398,61
62,ISLAND PARK DR @ SCOTT ST,23218,0.0234,704,33,2021-Dec-01,363833.6895,5029040.554,45.39881442,-75.74596206,62
63,GILCHRIST ST @ SCOTT ST,8523,0.06,59,7,2021-Dec-01,364281.6887,5029316.56,45.40125996,-75.74020698,63
64,OAKDALE AVE @ SCOTT ST,7564,0.0602,52,9,2021-Dec-01,363937.6843,5029104.56,45.39938156,-75.74462618,64
65,CARLETON AVE @ SCOTT ST,8958,0.0604,390,58,2021-Dec-01,364114.6933,5029214.56,45.40035635,-75.74235219,65
66,SCOTT ST @ WESTERN AVE,8890,0.0625,271,59,2021-Dec-01,364205.6887,5029269.556,45.40084348,-75.74118335,66
67,MUNSTER RD @ KETTLES RD,76,0.0476,2,0,2021-Dec-09,353668.5519,4997248.294,45.11352184,-75.87891941,67
68,HERRICK DR @ UPPER DWYER HILL RD,1900,0.0374,0,0,2021-Dec-09,318076.5191,5031771.697,45.42575376,-76.3303383,68
69,DIAMONDVIEW RD @ DONALD B. MUNRO DR,1599,0.0763,0,1,2021-Dec-09,338123.5141,5022171.51,45.33869991,-76.07480914,69
70,ARLINGTON AVE @ LYON ST,4579,0.0247,327,11,2021-Dec-09,367706.7125,5030160.562,45.40855465,-75.69635377,70
71,DES AUBEPINES DR @ HEPATICA WAY S,848,0.0687,55,0,2021-Dec-09,384263.1184,5034335.082,45.44442954,-75.48419872,71
72,FLORA ST @ LYON ST,4664,0.0238,306,11,2021-Dec-09,367664.712,5030226.568,45.40915233,-75.69688186,72
73,HAZELDEAN RD @ YOUNG RD,26183,0.025,24,1,2021-Dec-09,352464.6107,5017480.448,45.29566097,-75.89228433,73
74,APPLE CREEK CRES W @ GRASSY PLAINS DR,2779,0.036,134,82,2021-Jun-09,355688.6312,5015401.427,45.27672743,-75.85139441,74
75,MEDHURST DR N @ NESTOW DR N,1317,0.0137,91,16,2021-Jun-09,364246.6994,5022145.508,45.33673887,-75.7415168,75
76,HAIG DR @ SANDRA AVE,4407,0.0186,11,73,2021-Jun-10,372419.736,5028425.554,45.39250433,-75.63638843,76
77,CAMBRIAN RD @ SEELEY'S BAY ST,7266,0.0347,60,20,2021-Jun-16,363975.4011,5012392.257,45.24900223,-75.74614164,77
78,MCARTHUR AVE @ VANIER PKWY,43426,0.0247,912,281,2021-Jun-16,370218.705,5032690.586,45.43108852,-75.66392999,78
79,BANK ST @ MITCH OWENS RD,18200,0.1135,0,4,2021-May-28,377758.7657,5015947.46,45.27969673,-75.57004887,79
80,BANK ST @ MITCH OWENS RD,16564,0.0442,0,12,2021-May-29,377758.7657,5015947.46,45.27969673,-75.57004887,80
81,KIRKWOOD AVE @ MERIVALE RD,21182,0.036,254,33,2021-Oct-20,364853.7014,5026646.542,45.37718683,-75.73322592,81
82,CARLING AVE @ KIRKWOOD AVE S,34332,0.0421,261,41,2021-Oct-20,364351.7005,5027337.549,45.38344724,-75.73955162,82
83,DIAMONDVIEW RD @ DONALD B. MUNRO DR,2531,0.0518,0,4,2021-Oct-27,338123.5141,5022171.51,45.33869991,-76.07480914,83
84,FELICITY CRES @ JOSHUA ST,1317,0.0535,167,31,2021-Oct-27,381479.9079,5032237.964,45.42587215,-75.52009865,84
85,BELCOURT BLVD @ ST. JOSEPH BLVD,23770,0.0198,168,44,2021-Oct-28,381204.7402,5037358.597,45.47197364,-75.52281926,85
86,ABETTI RDG/RIVERSTONE DR @ JOCKVALE RD,21006,0.025,136,24,2021-Nov-03,365164.8641,5013549.969,45.25931832,-75.73084935,86
87,STONEHAVEN DR @ SAWYER WAY/SUMMITVIEW DR,13729,0.0201,198,17,2021-Nov-04,356561.6663,5015861.051,45.28079949,-75.84021987,87
88,DAVID DR @ WOODROFFE AVE,29375,0.0482,66,18,2021-Nov-04,362980.6896,5022907.501,45.34370135,-75.75757889,88
89,CLEARBROOK DR/MARKETPLACE AVE @ LONGFIELDS DR,19782,0.0312,430,82,2021-Nov-09,364631.8301,5014953.584,45.27199359,-75.73747142,89
90,780 W OF TERRY FOX DR @ HAZELDEAN RD,28987,0.0282,67,19,2021-Nov-04,351618.5658,5016697.734,45.28867478,-75.90314454,90
91,CRESTWAY DR @ LEIKIN DR,6898,0.0341,444,42,2021-Nov-09,366939.4043,5016514.564,45.28583905,-75.70786982,91
92,THORNCLIFF PL @ NORTHSIDE RD,5780,0.0388,102,13,2021-Nov-10,358364.5509,5021186.995,45.32858783,-75.81666548,92
93,NORTHSIDE RD @ LARKSPUR DR,3088,0.0313,58,9,2021-Nov-10,358299.9088,5021141.431,45.32818277,-75.817495,93
94,NORTHSIDE RD @ THORNCLIFF PL E,4413,0.0464,65,6,2021-Nov-10,358449.657,5021242.491,45.32908068,-75.81557382,94
95,JEANNE D'ARC BLVD @ PRESTIGE CIR,3046,0.0478,123,15,2021-Nov-09,383271.731,5039619.951,45.49209004,-75.49602611,95
96,"CARDINAL CREEK DR @ FAMILLE-LAPORTE, DE LA AVE",1794,0.19,71,19,2021-Aug-25,385516.5914,5040598.412,45.5006372,-75.46714888,96
97,RENAUD RD @ NAVAN RD,15058,0.0657,38,23,2021-Sep-14,381816.7611,5032736.549,45.43032102,-75.51571663,97
98,MUSTANG ST @ NAVAN RD,7238,0.0782,2,3,2021-Sep-14,387695.7961,5032042.523,45.42340476,-75.44071113,98
99,COPE DR @ TERRY FOX,24686,0.034,135,61,2021-Sep-16,353997.2701,5015345.308,45.27634284,-75.87295605,99
100,FLANDERS ST @ FRAMINGHAM CRES S,1041,0.0297,224,22,2021-Sep-16,362024.6682,5014651.424,45.26949173,-75.77073053,100
101,ESSON ST @ HUNT CLUB RD,28399,0.0648,18,7,2021-Sep-16,374639.7381,5025907.521,45.36963037,-75.60839507,101
102,ROBERVAL AVE @ WATTERS RD,5190,0.0253,337,30,2021-Sep-14,384695.7587,5038183.566,45.47900528,-75.4780436,102
103,ALBANY DR @ EMERALD AVE,291,0.0337,67,7,2021-Jul-27,363197.6864,5024686.523,45.3596908,-75.75460001,103
104,EQUESTRIAN DR @ HARNESS LANE,1782,0.0138,43,15,2021-Jul-27,354687.6317,5016644.437,45.28798405,-75.86402699,104
105,CHAMPAGNE AVE @ HICKORY ST,1667,0.0413,360,112,2021-Aug-05,366557.6969,5028965.556,45.39790464,-75.71118092,105
106,LAFONTAINE AVE @ RICHELIEU AVE,5676,0.071,215,105,2021-Aug-04,370927.7058,5033170.592,45.43534072,-75.65480527,106
107,ATLANTIS AVE @ LANARK AVE,531,0.0617,89,183,2021-Jul-06,362836.6905,5028741.545,45.39620735,-75.75873084,107
108,BLEEKS RD @ DWYER HILL RD,4425,0.0763,1,10,2021-Jul-13,346545.5263,5000872.364,45.14658994,-75.96914077,108
109,LENESTER AVE @ MAPLECREST AVE,2052,0.0144,15,36,2021-Jul-13,362740.6883,5025901.531,45.37066122,-75.76029026,109
110,METEOR AVE @ SMITH RD,727,0.045,6,41,2021-Jul-13,388128.7998,5031539.515,45.41882774,-75.435264,110
111,HOCHELAGA ST @ MONTREAL RD,16524,0.0278,75,34,2021-Jul-13,372970.7237,5034467.598,45.44681432,-75.62851629,111
112,GREENFIELD AVE @ MAIN ST,9251,0.023,151,201,2021-Jul-15,368891.7155,5030816.575,45.41434972,-75.68113135,112
113,FALLOWFIELD RD @ O'KEEFE CRT,12356,0.0436,33,37,2021-Jul-15,360826.6658,5015320.419,45.27560787,-75.78592115,113
114,CAMBRIAN RD @ CEDARVIEW RD,9105,0.0936,0,11,2021-Jul-15,363002.6714,5011834.402,45.24406373,-75.75859787,114
115,COTE ST @ MORIN ST,3348,0.0171,60,83,2021-Jun-02,371681.7176,5033212.586,45.43564685,-75.64516343,115
116,CAMERON AVE @ SENECA ST,604,0.0241,513,267,2021-Sep-16,368417.0271,5027954.761,45.38864334,-75.68756476,116
117,HUNT CLUB RD @ MALAK ST,28954,0.0638,20,6,2021-Sep-16,374193.735,5025653.517,45.36738925,-75.61412394,117
118,ADELAIDE ST @ HOLMWOOD AVE,1141,0.0192,544,218,2021-Sep-16,368726.7079,5029343.563,45.40111114,-75.68343035,118
119,BRIDGESTONE DR @ EQUESTRIAN DR N,2911,0.0657,171,23,2021-Sep-23,355114.6307,5016814.433,45.28948328,-75.85856666,119
120,ALDEA AVE @ CLEMENTINE BLVD,2242,0.0837,140,17,2021-Sep-23,369487.7225,5027038.54,45.3803014,-75.67401269,120
121,CRESTWAY DR @ OLDFIELD ST,4104,0.0106,85,8,2021-Sep-22,366667.6552,5016365.12,45.28451834,-75.71135228,121
122,BRICKLAND DR @ DUNNING RD,4179,0.0812,3,25,2021-Aug-18,390721.8734,5041581.794,45.50886284,-75.40038171,122
123,DUNNING RD @ WILHAVEN DR,5500,0.0712,0,46,2021-Aug-18,391045.7931,5040827.562,45.50203722,-75.39636961,123
124,HIAWATHA PARK RD @ ST. LOUIS DR,2064,0.0604,87,68,2021-Aug-18,379322.7294,5038291.597,45.48057142,-75.54674436,124
125,LUMBERMAN WAY @ ORLEANS BLVD,8035,0.0186,177,96,2021-Aug-18,380451.7346,5037241.595,45.47100294,-75.53246647,125
126,RIDEAU VALLEY DR E @ ROGER STEVENS DR E,9604,0.0578,1,20,2021-Aug-19,372212.7032,5002825.333,45.16217929,-75.64250888,126
127,BRIAN COBURN BLVD @ MER BLEUE RD,26073,0.026,69,31,2021-Oct-19,383150.82,5034441.16,45.44550949,-75.49839847,127
128,RENAUD RD @ MER BLEUE RD,6765,0.0535,7,19,2021-Oct-19,383448.7696,5033734.537,45.43911844,-75.49470314,128
129,NAVAN RD W @ MER BLEUE RD,6652,0.0751,0,5,2021-Oct-19,384006.7766,5032255.544,45.42574875,-75.48780966,129
130,RENAUD RD @ NAVAN RD,13258,0.0701,49,17,2021-Oct-19,381816.7611,5032736.549,45.43032102,-75.51571663,130
131,FERN CASEY ST @ RENAUD RD,5820,0.0527,79,18,2021-Oct-19,382624.9507,5033235.527,45.43472095,-75.50531056,131
132,BRIAN COBURN BLVD @ NAVAN RD,18845,0.0563,9,5,2021-Oct-19,381168.997,5032906.816,45.43192399,-75.52396751,132
133,BRIAN COBURN BLVD @ FERN CASEY ST,14324,0.0224,46,39,2021-Oct-19,382289.8384,5033944.239,45.44113457,-75.50948146,133
134,BANK ST @ BLAIS RD,16149,0.0887,12,12,2021-Oct-19,376154.7563,5019727.474,45.3138725,-75.58994746,134
135,BANK ST @ DUN SKIPPER DR,13662,0.1052,0,7,2021-Oct-19,376333.15,5019313.32,45.31012795,-75.58773232,135
136,ROSS AVE @ SCOTT ST,8789,0.0555,231,39,2021-Dec-02,364356.6907,5029362.565,45.40166752,-75.73924347,136
137,HOLLAND AVE/TUNNEY'S PASTURE @ SCOTT ST,14940,0.1237,1721,61,2021-Dec-02,364737.697,5029595.557,45.40373142,-75.73434874,137
138,HURON AVE @ SCOTT ST,10121,0.1632,125,17,2021-Dec-02,364664.6994,5029551.563,45.40334182,-75.73528648,138
139,SCOTT ST @ CAROLINE AVE,9881,0.1661,54,18,2021-Dec-02,364577.7044,5029498.558,45.40287232,-75.73640408,139
140,BRIAN GOOD AVE @ EARL ARMSTRONG RD,25369,0.0328,36,15,2021-Dec-01,368110.04,5014834.15,45.2706144,-75.69316279,140
141,SCOTT ST @ SMIRLE AVE,8408,0.0515,63,13,2021-Dec-02,364502.6942,5029452.563,45.40246488,-75.73736774,141
142,GRANGE AVE @ SCOTT ST,8403,0.0509,39,11,2021-Dec-02,364434.6868,5029410.559,45.40209273,-75.73824146,142
143,DWYER HILL RD @ O'NEIL RD,1695,0.0419,0,0,2021-Dec-01,351584.5151,4993404.303,45.07907231,-75.90576329,143
144,CARLING AVE @ RICHARDSON SIDE RD,8172,0.0183,9,3,2021-Dec-01,351834.6211,5022270.494,45.33880537,-75.89986132,144
145,GRANTS SIDE RD @ JOHN SHAW RD,89,0.1633,0,0,2021-Dec-01,332266.4982,5026644.572,45.37920446,-76.14929152,145
146,MCKENNA RD @ MONTAGUE BOUNDARY RD,111,0.1475,9,0,2021-Dec-01,351169.5092,4988762.325,45.03732804,-75.91146291,146
147,SPRATT RD @ CANYON WALK DR/GOLDENEYE WAY,7839,0.0279,813,4,2021-Dec-01,368671.3781,5016145.109,45.28235949,-75.68584102,147
148,SPRATT RD @ CANYON WALK DR E,7879,0.0321,322,5,2021-Dec-01,369091.6382,5016425.426,45.28484343,-75.68044826,148
149,BANK ST @ SIEVERIGHT AVE,19960,0.0422,20,2,2021-Dec-15,372195.8766,5024132.46,45.35389828,-75.63983296,149
150,NORMAN ST @ ROCHESTER ST,6475,0.0442,334,16,2021-Dec-15,366889.7,5029270.556,45.40061958,-75.70690232,150
151,JOCKVALE RD @ LAMING ST/WEYBRIDGE DR W,10443,0.026,152,1,2021-Dec-15,361915.6749,5015397.436,45.27621326,-75.77203361,151
152,ATHLONE AVE @ RICHMOND RD,10802,0.0406,1150,31,2021-Dec-15,363453.6895,5028441.556,45.39345668,-75.75088661,152
153,BOYER RD @ ST. JOSEPH BLVD,22612,0.0239,131,1,2021-Dec-14,380405.742,5036833.586,45.46733698,-75.53311737,153
154,ALBION RD @ KITCHENER AVE,4048,0.0778,19,4,2021-Dec-14,371219.7293,5025903.531,45.36992693,-75.65205202,154
155,ROSEHILL AVE @ ETESIAN ST,2472,0.0133,98,67,2021-Jun-17,350377.529,5016345.767,45.28558926,-75.91899711,155
156,BOYER RD @ VISENEAU DR,2935,0.0536,103,65,2021-Jun-17,381091.7547,5035259.564,45.45310061,-75.52458983,156
157,HIGHBURY PARK DR @ VIA VERONA AVE/COLINDALE AVE,3303,0.0188,74,31,2021-Aug-31,364016.746,5015829.323,45.27992556,-75.74520523,157
158,DREAMCATCHER PL @ RALPH HENNESSY AVE,1598,0.0421,278,23,2021-Aug-31,369162.1995,5014805.459,45.27026073,-75.67975893,158
159,LYON ST @ WELLINGTON ST,21620,0.0934,1073,123,2021-Nov-10,366935.271,5031426.166,45.4200111,-75.70604857,159
160,LYON ST @ WELLINGTON ST,18299,0.0329,692,48,2021-Nov-13,366935.271,5031426.166,45.4200111,-75.70604857,160
161,LYON ST @ WELLINGTON ST,21463,0.0346,574,60,2021-Nov-14,366935.271,5031426.166,45.4200111,-75.70604857,161
162,EDENVALE DR @ KETTLEBY ST,882,0.0483,160,7,2021-Nov-18,352308.3051,5020146.815,45.31966416,-75.89402149,162
163,DANZIG TERR/GRONINGEN ST @ ROUNCEY RD,1799,0.0228,173,58,2021-Jul-15,353305.1189,5015423.868,45.27709784,-75.88176967,163
164,RIVERSIDE DR @ HERON RD,33758,0.0166,29,23,2021-Jun-26,368121.1049,5026647.221,45.37690527,-75.69151123,164
165,COLONEL BY DR @ MAIN ST,8687,0.0051,99,151,2021-Jun-29,368859.7037,5030914.574,45.41523442,-75.68152757,165
166,STALWART CRES E @ WHITE ALDER AVE,2649,0.0118,69,29,2021-Jun-29,375560.51,5020782.2,45.32342263,-75.5973748,166
167,KELLY FARM DR @ WHITE ALDER AVE,3084,0.0717,327,107,2021-Jun-29,374716.4811,5020250.206,45.31872052,-75.60821507,167
168,CHAPMAN BLVD @ HAIG DR,4665,0.0141,231,165,2021-Jun-24,372378.7253,5028878.548,45.39658414,-75.6368501,168
169,RIVERSIDE DR @ HERON RD,49471,0.0322,72,81,2021-Jun-24,368121.1049,5026647.221,45.37690527,-75.69151123,169
170,RIVERSIDE DR @ HERON RD,41052,0.0313,43,52,2021-Jun-25,368121.1049,5026647.221,45.37690527,-75.69151123,170
171,8TH LINE RD @ PARKWAY RD,3650,0.0265,11,0,2021-Jul-07,383165.7945,5016891.461,45.28760839,-75.50099058,171
172,NAVAN RD @ TENTH LINE RD,12355,0.1073,4,11,2021-Sep-14,385757.7875,5031832.533,45.42174242,-75.46550649,172
173,NAVAN RD @ TRIM RD,8924,0.07,0,24,2021-Sep-14,388559.7992,5032375.526,45.42629785,-75.42961572,173
174,NAVAN RD W @ MER BLEUE RD,8280,0.1399,11,12,2021-Sep-14,384006.7766,5032255.544,45.42574875,-75.48780966,174
175,RIVER RD @ RIDEAU RD,8898,0.0567,31,21,2021-Sep-21,368048.7043,5012370.414,45.24845141,-75.69425801,175
176,"BAIE-DES-CASTORS, DE LA RUE @ FAMILLE-LAPORTE, DE LA AVE",1010,0.0357,168,47,2021-Jul-21,385257.1658,5040395.821,45.49884446,-75.47050117,176
177,BARNSDALE RD S @ MOODIE DR,5053,0.2944,0,11,2021-Jul-26,361949.6581,5008824.373,45.21706536,-75.77235605,177
178,CAMBRIAN RD @ MOODIE DR,4361,0.3687,0,1,2021-Jul-26,361122.665,5010805.383,45.23495741,-75.78266053,178
179,BARNSDALE RD W @ CEDARVIEW RD W,4756,0.2871,0,12,2021-Jul-26,363536.2011,5009759.383,45.22534821,-75.75204718,179
180,WELLINGTON ST @ HAMILTON AVE,8823,0.0623,1318,35,2021-Feb-17,365077.6928,5029231.562,45.40042708,-75.73005048,180
