Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
MAGLADRY RD @ ROCKDALE RD,1382,0.0545,0,0,1574226000000,392333.8259,5030425.4972,45.4082916472,-75.3817420636,53
MALAKOFF RD @ PIERCE RD,992,0.1518,0,0,1573707600000,363298.6293,4994908.2383,45.0917341786,-75.7568114887,54
MALAKOFF RD @ POLLOCK RD,732,0.1054,0,0,1571284800000,361886.6326,5000178.297,45.1392711763,-75.7741476096,55
MALCOLM PL @ NORICE ST,987,0.0349,37,26,1563422400000,364241.7009,5023043.5145,45.3448194622,-75.741472679,56
MANOTICK MAIN ST/RIDEAU VALLEY DR E @ CENTURY,5939,0.0276,7,9,1563336000000,370042.7107,5008802.3897,45.2161646245,-75.6693263259,57
MANOTICK STATION RD @ MITCH OWENS RD,11592,0.0756,0,0,1549515600000,373508.7451,5013268.4308,45.2560197078,-75.624584802,58
MARCH RD @ DIAMONDVIEW RD,6579,0.0498,0,0,1554177600000,340133.5222,5019865.4877,45.3178509783,-76.0493278375,59
MARCH RD @ HUNTMAR DR,7020,0.0488,0,0,1554177600000,344141.5702,5023547.5032,45.3507698983,-75.9979151475,60
MARCH VALLEY RD @ RIDDELL DR,2239,0.0381,0,0,1554782400000,348201.6073,5027265.5422,45.3839861296,-75.9457758546,61
MARCH VALLEY RD @ TERRY FOX DR,10550,0.0243,175,1,1550638800000,350754.5692,5023784.006,45.352495839,-75.9135008987,62
MARGUERITE AVE @ MCARTHUR AVE,10849,0.0311,907,38,1553572800000,370030.7094,5032670.584,45.4309261096,-75.6663350207,63
MARINA DR @ RIDEAU VALLEY DR,2577,0.035,3,0,1573707600000,372353.7082,5003522.3399,45.1684374443,-75.6406212008,64
MARIONVILLE RD @ YORKS CORNERS RD,786,0.1366,0,0,1574658000000,392796.804,5004033.3092,45.1707820102,-75.3805100234,65
MARKETPLACE AVE @ RIOCAN AVE,10551,0.0414,512,2,1551157200000,364286.8769,5014761.595,45.2702953388,-75.7418903023,66
MAXIME ST @ CYRVILLE RD,13203,0.0301,47,1,1551762000000,374826.7357,5031173.5595,45.4169929201,-75.6052606668,67
MAY ST @ MCARTHUR AVE,12969,0.0393,283,25,1552968000000,371674.7231,5032850.5814,45.4323903707,-75.6453019863,68
"MCARTHUR AVE @ EGLISE, RUE DE L/MOORVALE ST",14087,0.0384,626,34,1553572800000,371445.7167,5032824.5788,45.432178273,-75.6482320154,69
MCARTHUR AVE @ IRWIN MILLER ST,12621,0.0349,519,22,1552968000000,371078.716,5032784.575,45.4318532153,-75.6529273487,70
MCARTHUR AVE @ NORTH RIVER RD,11365,0.0349,994,95,1552968000000,369820.7072,5032646.5817,45.4307297024,-75.6690217869,71
MCARTHUR AVE @ OLMSTEAD ST,14578,0.0352,429,50,1552968000000,370482.709,5032723.5891,45.431360722,-75.6605519027,72
MCARTHUR AVE @ VANIER PKWY,53453,0.0203,1269,35,1553572800000,370218.705,5032690.5859,45.4310885183,-75.663929989,73
MCCARTHY RD @ PLANTE DR S,9989,0.0358,49,5,1575954000000,370418.7268,5023606.5089,45.3493344819,-75.6625818751,74
MCCARTHY RD @ WALKLEY RD,19723,0.0243,13,2,1549515600000,369249.7173,5025300.5224,45.3646851628,-75.6772782089,75
MCCOOEYE LANE @ 35M N OF CARP RD,2991,0.0236,17,19,1564632000000,349401.665,5014355.247,45.2677404732,-75.9316152364,76
MCCOOEYE LANE @ NEIL AVE,266,0.0245,20,7,1564632000000,349272.5772,5014563.4358,45.2696220055,-75.9332415522,77
MCCORDICK RD @ MCMULLEN RD,1022,0.0545,0,0,1573707600000,369125.679,4993295.2325,45.0767143663,-75.6829965853,78
MCCORDICK RD @ ROGER STEVENS DR,4304,0.0621,0,0,1550725200000,364681.6415,4998309.2666,45.1222218394,-75.7388360876,79
MCKENNA CASEY DR @ STRANDHERD DR,29435,0.0591,3,36,1561608000000,361911.7982,5013611.3439,45.2601421801,-75.772288415,80
MCKENNA RD @ ROGER STEVENS DR,2869,0.0571,0,0,1573707600000,353311.5316,4988430.2928,45.0341968636,-75.8843092335,81
MCLEOD ST @ QUEEN ELIZABETH DRWY,10455,0.0118,23,4,1550638800000,368755.7089,5030930.576,45.4153879049,-75.6828540686,82
MEADOWBROOK RD @ 170 W OF TELESAT CRT @,6584,0.0224,238,0,1547614800000,374854.95,5032172,45.4259735236,-75.6047582391,83
MEADOWGLEN DR @ WINDFLOWER WAY,2909,0.0439,98,43,1565841600000,380200.7465,5034512.5718,45.4464764434,-75.5360944623,84
MEADOWLANDS DR @ VALMARIE AVE,6035,0.0378,75,11,1573621200000,366772.7141,5025172.5201,45.3637567957,-75.7089109304,85
MEADOWLANDS DR @ WITHROW AVE,16106,0.0271,28,23,1571716800000,363663.6917,5023063.4965,45.3450480019,-75.7488455562,86
MER BLEUE RD @ 210 S OF INNES RD,19733,0.0239,80,0,1547528400000,382729.7148,5035375.7916,45.4539655866,-75.5036328114,87
MER BLEUE RD @ DECOEUR DR,7586,0.0374,19,10,1565841600000,383327.259,5034002.488,45.4415428975,-75.4962133055,88
MERIVALE RD @ ANNA AVE/LAPERRIERE AVE,16140,0.0232,241,15,1547701200000,364859.7062,5027164.5424,45.3818471872,-75.7330862431,89
MERIVALE RD @ BASIL MACDONALD WAY/MERIVALE MAL,39634,0.0268,329,7,1547528400000,365097.2825,5023171.2369,45.3458956662,-75.7305401332,90
MERIVALE RD @ BENTLEY AVE/CAMELOT DR,33486,0.0525,115,7,1547528400000,365771.9868,5021559.2312,45.33133274,-75.7221295931,91
MERIVALE RD @ MACFARLANE RD,19941,0.0417,17,1,1551243600000,366153.3313,5020632.4218,45.3229601959,-75.717379769,92
MERIVALE RD @ MORISSET AVE,29315,0.0234,250,32,1574917200000,364866.7008,5026492.5275,45.3757999189,-75.7330786871,93
MERIVALE RD @ PINEGLEN CRES,15616,0.0362,31,44,1570680000000,366242.7101,5020412.4805,45.3209733745,-75.7162670518,94
MERIVALE RD @ VISCOUNT AVE,3816,0.0262,98,2,1547528400000,364941.7027,5027679.5421,45.3864740214,-75.7319765627,95
MERRIMAN AVE @ SANDRIDGE RD,1717,0.1135,26,19,1571716800000,370495.7166,5035449.6123,45.4558870469,-75.660021744,96
METCALFE ST @ NEPEAN ST,11558,0.0353,5712,207,1568260800000,367874.7142,5031319.5735,45.4189679463,-75.6940593955,97
METCALFE ST @ NEPEAN ST,11505,0.0377,5395,200,1568865600000,367874.7142,5031319.5735,45.4189679463,-75.6940593955,98
METCALFE ST @ NEPEAN ST,13138,0.0283,5626,29,1551243600000,367874.7142,5031319.5735,45.4189679463,-75.6940593955,99
METCALFE ST @ NEPEAN ST,10423,0.041,4818,248,1567051200000,367874.7142,5031319.5735,45.4189679463,-75.6940593955,100
METCALFE ST @ NEPEAN ST,11366,0.0368,6100,198,1567656000000,367874.7142,5031319.5735,45.4189679463,-75.6940593955,101
METCALFE ST @ NEPEAN ST,12378,0.0331,7151,106,1556769600000,367874.7142,5031319.5735,45.4189679463,-75.6940593955,102
METCALFE ST @ QUEEN ST,14172,0.1004,12082,117,1575349200000,367648.702,5031680.5784,45.4222364903,-75.6969009415,103
CLYDE AVE @ 90M N OF BASSELINE RD (PRIVATE ACCESS),30453,0.0122,337,44,1566360000000,364311.882,5024999.511,45.3624133229,-75.740341747,104
CLYDE AVE @ DOHENY ST,11400,0.0589,109,4,1551243600000,363590.694,5026701.5377,45.3777887866,-75.749344218,105
CLYDE AVE @ LAPERRIERE AVE,13900,0.0574,128,12,1551243600000,363698.6893,5026445.523,45.3754761335,-75.7479959589,106
COBBLE HILL DR @ HELENE-CAMPBELL RD,7072,0.0227,73,0,1576126800000,361112.0585,5015051.0834,45.273161566,-75.7823145572,107
CODD'S RD @ MIKINAK RD,1503,0.1276,91,7,1565841600000,372526.517,5034998.736,45.4516364137,-75.6341211787,108
COLDREY AVE @ LAPERRIERE AVE,9767,0.0395,53,23,1574139600000,364311.7044,5026829.5401,45.3788796604,-75.7401235402,109
COLE AVE @ DOVERCOURT AVE,4206,0.0386,522,172,1571889600000,363283.6916,5027281.5437,45.3830332918,-75.7531950689,110
COLOMBINE DRWY @ GOLDENROD DRWY,5356,0.0431,598,38,1574226000000,364275.6929,5029970.566,45.4071450797,-75.7402046815,111
COLONEL BY DR @ COLONEL BY DR SB ON RAMP 43,10396,0.0039,17,4,1575522000000,367640.7079,5028440.5499,45.3930844155,-75.6974160616,112
COLONEL BY DR @ ECHO DR S,12990,0.0042,20,6,1575522000000,368542.7126,5028771.5476,45.3959811066,-75.6858543057,113
COLONEL BY DR @ HAWTHORNE AVE/PRETORIA BRIDGE,25398,0.0168,1742,590,1572321600000,368767.7102,5030525.5669,45.4117426758,-75.6827533119,114
COLONIAL RD @ FRANK KENNY RD,9880,0.0914,0,30,1556164800000,390200.8105,5032047.5038,45.4231482428,-75.40870555,115
COLONIAL RD @ LAFLEUR RD,3491,0.1089,1,1,1574226000000,396544.8484,5034686.5086,45.446087236,-75.3271629726,116
COLONIAL RD @ ROCKDALE RD,5640,0.1462,0,2,1574226000000,391419.8214,5032662.5032,45.4285314377,-75.393023169,117
COLONIAL RD @ SARSFIELD RD,4251,0.1056,31,7,1574226000000,395214.84,5034203.512,45.4419151631,-75.3442506148,118
COMPASS ST @ SHINLEAF CRES/YELLOW BIRCH ST,978,0.041,56,0,1575435600000,382206.608,5033417.675,45.4364062039,-75.5106280024,119
CONCORD ST @ GREENFIELD AVE,10649,0.0084,308,188,1561176000000,369033.7103,5031064.5589,45.4165679707,-75.6792850169,120
CONCORD ST @ GREENFIELD AVE,11762,0.0165,473,158,1561435200000,369033.7103,5031064.5589,45.4165679707,-75.6792850169,121
CONLEY RD @ FRANKTOWN RD,5595,0.0545,0,1,1556596800000,353026.5687,5002800.3302,45.163525865,-75.8865425442,122
CONNERY AVE @ PLEASANT PARK RD,6557,0.0282,18,36,1572321600000,373383.7253,5028711.5518,45.3949838628,-75.6240384378,123
CONOVER ST @ CRAIG HENRY DR,5224,0.0468,107,1,1547528400000,361896.679,5021625.4876,45.3322549128,-75.7715583272,124
CONROY RD @ DAVIDSON RD N,13054,0.0476,1,0,1551848400000,374573.7515,5023515.5101,45.3481146555,-75.6095750441,125
CONROY RD @ DAVIDSON RD S,13451,0.0472,1,1,1551848400000,374597.781,5023462.249,45.3476330432,-75.609275943,126
CONROY RD @ LORRY GREENBERG DR,22246,0.0369,226,26,1555387200000,373568.186,5025878.183,45.3694723577,-75.6220774374,127
CONROY RD @ QUEENSDALE AVE,12919,0.0468,0,0,1553054400000,374351.7398,5024043.5111,45.352887443,-75.6123336636,128
CONROY RD @ THURSTON DR,27804,0.028,118,83,1555387200000,373204.5305,5026795.4168,45.3777608374,-75.6265924319,129
CONSTANCE LAKE RD/MURPHY SIDE RD @ DUNROBIN RD,6272,0.04,5,0,1554782400000,344977.6033,5028462.5577,45.3949495117,-75.9868461331,130
CONSUL AVE @ MORRISON DR,3029,0.0422,163,88,1567051200000,359867.6668,5022974.4979,45.3445554796,-75.7972924194,131
CONSUL AVE @ MORRISON DR,3094,0.0429,90,9,1556683200000,359867.6668,5022974.4979,45.3445554796,-75.7972924194,132
COOPER ST @ BANK ST,10030,0.0624,8966,393,1565236800000,367648.7103,5030990.5718,45.4160280325,-75.696988849,133
COOPER ST @ KENT ST,15989,0.0259,2302,29,1551762000000,367482.7046,5030889.562,45.4151340688,-75.6991225249,134
COPE DR @ TERRY FOX,19678,0.0501,32,28,1565236800000,353997.2701,5015345.3077,45.2763428437,-75.8729560476,135
CORKERY RD @ OLD ALMONTE RD,803,0.1327,10,0,1554782400000,338906.4858,5013044.4692,45.2565326401,-76.0654468966,136
CORTLEIGH DR @ WOODROFFE AVE,799,0.0348,88,29,1570680000000,366628.8634,5014132.7643,45.2644351497,-75.7121247378,137
COURTWOOD CRES E @ WOODWARD DR,11044,0.0372,288,108,1572321600000,363552.694,5026118.5314,45.372546165,-75.7498987292,138
COWELL RD @ MALAKOFF RD,613,0.1845,1,0,1573707600000,365462.6501,4992390.2252,45.068894176,-75.7296259621,139
CRAMER DR @ MCCLELLAN RD W,1478,0.0754,85,1,1573621200000,360245.6707,5021265.4829,45.3291479747,-75.7926606427,140
CRESTHAVEN DR @ WATERBRIDGE DR,4116,0.0451,290,0,1575522000000,366937.631,5015978.5325,45.2810160414,-75.7079595467,141
CRESTWAY DR @ LEIKIN DR,9900,0.0316,201,1,1551157200000,366939.4043,5016514.5642,45.2858390531,-75.7078698232,142
CRICHTON ST @ ELECTRIC ST,5679,0.0315,452,84,1573102800000,368940.7022,5033559.5998,45.4390259501,-75.6801483163,143
CROSSFIELD AVE @ WAVELL AVE,251,0.0435,46,2,1550638800000,362233.6888,5027248.5405,45.3828232074,-75.7666057586,144
DALMENY RD @ NIXON DR,4753,0.0642,1,0,1575954000000,375591.7178,4997713.2991,45.1158509758,-75.6002566945,145
DALMENY RD @ RIVER RD,5312,0.0521,0,0,1573707600000,374387.7107,4996968.2771,45.1092668116,-75.6156609941,146
DALY AVE @ KING EDWARD AVE,18094,0.0217,1328,21,1551762000000,368591.7076,5032273.5857,45.427486803,-75.6847753598,147
DANBURY WAY @ PRINCE OF WALES DR,3835,0.0436,0,2,1571284800000,366636.658,5000622.2899,45.1428664946,-75.7137019499,148
DANIEL MCCANN ST @ LEBRETON ST,2695,0.0149,183,42,1568260800000,367046.715,5029477.5657,45.4024682541,-75.7048707722,149
DATA CENTRE RD @ HERON RD,46321,0.0436,39,22,1575954000000,368941.725,5026732.5407,45.3775983106,-75.6810234776,150
DATA CENTRE RD @ RIVERSIDE DR,37512,0.0241,85,49,1574917200000,368897.449,5027671.9071,45.3860545019,-75.6814667839,151
DAVIDSON RD @ HAWTHORNE RD,17484,0.1127,0,1,1553659200000,376282.7537,5024509.5161,45.3568861543,-75.587624478,152
DEAKIN ST @ PRINCE OF WALES DR,36400,0.0232,14,55,1574744400000,367390.7111,5021523.4878,45.3308686216,-75.7014846884,153
DES EPINETTES AVE @ JEANNE D'ARC BLVD,24656,0.0321,186,3,1546923600000,382226.7481,5035958.5714,45.4592648576,-75.5099707446,154
DES EPINETTES AVE @ PRESTWICK DR,8986,0.0318,216,4,1551157200000,383334.7613,5036664.5696,45.4654931346,-75.4956923519,155
DES PERES BLANCS AVE @ MARIER AVE,5619,0.0586,180,99,1571716800000,370063.7109,5033670.5905,45.4399206712,-75.6657807283,156
DESCHAMPS AVE @ MARIER AVE,3021,0.0461,320,57,1571716800000,370370.7133,5033345.5891,45.4369677233,-75.6619002526,157
DEVINE RD @ FRANK KENNY RD,6229,0.0596,0,5,1574053200000,393676.8667,5023503.459,45.3458457747,-75.3658336753,158
DEVINE RD @ FRONTIER RD,3726,0.0748,0,1,1574053200000,389637.838,5021965.4705,45.3325085124,-75.4176303469,159
DEVINE RD @ SAND RD,1472,0.0891,0,0,1574053200000,392600.8569,5023131.463,45.3426344537,-75.3796281123,160
DIAMONDVIEW RD @ DONALD B. MUNRO DR,2125,0.0578,0,0,1554782400000,338123.5141,5022171.5104,45.3386999075,-76.0748091448,161
DIAMONDVIEW RD @ MCGEE SIDE RD,397,0.1446,0,0,1554782400000,342301.5269,5017715.4702,45.2983917528,-76.021838995,162
DILWORTH RD @ FOURTH LINE RD,4673,0.0456,2,0,1573707600000,370686.6817,4994689.2371,45.0891142596,-75.6629891614,163
DILWORTH RD @ THIRD LINE RD,696,0.0729,1,0,1573707600000,372381.6947,4995779.2623,45.0987625424,-75.6413114766,164
DIVISION ST @ ROCKDALE RD,3076,0.045,11,0,1574053200000,394802.8694,5024312.4571,45.3529806452,-75.3513202984,165
DOBSON LANE @ MCBEAN ST,1497,0.1051,32,4,1556596800000,358676.6178,5003930.3293,45.1732853155,-75.8145550434,166
DOBSON LANE @ MCBEAN ST,713,0.1264,2,1,1571284800000,358676.6178,5003930.3293,45.1732853155,-75.8145550434,167
DOMINION SPRINGS RD @ KINBURN SIDE RD,1626,0.0494,0,0,1554177600000,323993.4095,5023446.5935,45.3507027305,-76.2550502501,168
DONALD B. MUNRO DR @ GRANTS SIDE RD,632,0.0492,3,2,1554350400000,331273.4914,5025760.5769,45.3712880719,-76.1620179813,169
DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD,6542,0.0406,0,1,1550725200000,343091.5592,5022592.501,45.3422345727,-76.0113890346,170
DONALD ST @ 110 E OF ST. LAURENT BLVD,16515,0.0254,563,14,1547010000000,372203.9134,5032483.8246,45.4290396614,-75.6385895937,171
DONNELLY DR @ HARNETT RD,1688,0.0544,0,0,1573707600000,365461.685,4987512.1942,45.0250000878,-75.7302271859,172
DONNELLY DR @ MCCORDICK RD,5029,0.0319,0,0,1573707600000,370435.6936,4991830.2211,45.0634117232,-75.6665513941,173
DOVERCOURT AVE @ WINDERMERE AVE,3104,0.0496,282,109,1571889600000,362535.6928,5026936.5404,45.3799910435,-75.7627861536,174
DOYLE RD @ SNAKE ISLAND RD,4520,0.0725,1,0,1573707600000,375043.716,5004189.3643,45.1741766272,-75.6063107241,175
DOZOIS RD @ GOUGH RD,2129,0.0423,1,0,1571198400000,372529.7273,5010156.4104,45.2281132256,-75.6374808211,176
DRAPER AVE N @ MORRISON DR N,4568,0.0395,280,97,1563422400000,360371.6803,5023132.5031,45.3459374598,-75.7908435441,177
DRIVEWAY (THE) @ MORNINGSIDE LANE,7939,0.0073,18,53,1574139600000,366435.7042,5027867.5403,45.3880357113,-75.7128761289,178
DUMAURIER AVE @ BARWELL AVE/GRENON AVE,2609,0.0691,175,2,1551848400000,359729.6724,5023650.5031,45.3506489952,-75.798978125,179
DUMAURIER AVE @ RAMSEY CRES S,2058,0.0796,39,0,1573621200000,360122.6718,5023335.5127,45.347783823,-75.7939982187,180
DUMAURIER AVE @ RICHMOND RD,16771,0.0278,241,17,1558584000000,359627.6654,5023735.5114,45.3514218821,-75.8002704325,181
DUMAURIER AVE @ SPLINTER CRES N,1704,0.0673,129,10,1567051200000,359770.6748,5023579.4963,45.3500068636,-75.7984627782,182
DUNNING RD @ MAGLADRY RD,1552,0.1447,0,0,1574226000000,395069.851,5030852.4885,45.4117856657,-75.3467177529,183
DUNNING RD @ REGIMBALD RD,2340,0.1307,0,2,1574139600000,392838.8044,5036511.5148,45.4629829876,-75.3742037804,184
DUNROBIN RD @ KERWIN RD,6852,0.0428,0,0,1554782400000,346290.6037,5027174.5434,45.3832830996,-75.9701853127,185
DUNROBIN RD @ KILMAURS SIDE RD,1864,0.0492,0,0,1554350400000,335864.5965,5038149.663,45.4825807365,-76.1026240917,186
DUNROBIN RD @ KINBURN SIDE RD,5636,0.0454,1,2,1554350400000,338029.5988,5035929.6286,45.4625046563,-76.0750804378,187
DUNROBIN RD @ VANCES SIDE RD,5626,0.0452,0,0,1554350400000,340157.5991,5033679.6114,45.4421540188,-76.048031459,188
DWYER HILL RD @ DONNELLY DR,1958,0.0435,4,1,1573707600000,360066.6822,4982833.2225,44.9833370586,-75.7991958041,189
DWYER HILL RD @ FERNBANK RD,3916,0.0523,1,16,1556164800000,342918.5012,5005065.4089,45.1845267125,-76.0149421782,190
DWYER HILL RD @ GOLF CLUB WAY,4366,0.0462,0,7,1556164800000,341462.89,5006731.92,45.1996001814,-76.0333416594,191
DWYER HILL RD @ PURDY RD,1921,0.029,0,0,1556596800000,350230.5288,4996574.3191,45.1076862682,-75.9226728042,192
EAGLESON RD @ EMERALD MEADOWS DR,10247,0.0433,15,0,1550725200000,354998.6263,5015092.4169,45.2739964952,-75.8602196215,193
EAGLESON RD @ FLEWELLYN RD,12149,0.0452,0,1,1550725200000,355333.6235,5014247.4253,45.2663690718,-75.8560363488,194
EAGLESON RD @ HOPE SIDE RD/TERRY FOX DR,22445,0.0493,4,21,1560398400000,355188.1529,5014616.0049,45.2696960747,-75.8578526073,195
EAGLESON RD @ RUSHMORE RD,5999,0.0508,0,0,1571198400000,356743.6324,5010544.3978,45.2329456602,-75.838456341,196
EAGLESON RD/MCCORDICK RD @ BROPHY DR,5976,0.0688,0,2,1556596800000,359085.6272,5004722.3257,45.1803805824,-75.8092656438,197
EARL ARMSTRONG RD @ FIRE STATION/235 E OF SPRATT RD,20464,0.0277,4,0,1576731600000,368594.9306,5015136.7958,45.2732937551,-75.6869449773,198
EARL ARMSTRONG RD @ LIMEBANK RD,21693,0.0403,3,0,1576645200000,370155.7209,5015960.4507,45.2805615363,-75.6669466296,199
