FID,OBJECTID,Intersecti,All_Motori,F__Truck,Pedestrian,Bicycles_N,Data_Colle
192,192,CENTREPOINTE DR @ REC PATH BEN FRANKLIN PL,11628,1.82%,794,11,2017-Jan-12
193,193,CHAMBERLAIN AVE @ KENT ST,12247,4.07%,348,9,2017-Apr-05
194,194,CHAPEL ST @ RIDEAU ST,11093,7.70%,1870,124,2017-May-09
195,195,CHAPMAN MILLS DR @ LONGFIELDS DR,19691,2.93%,208,77,2017-May-24
196,196,CHARLEMAGNE BLVD @ VALIN ST,8851,2.70%,180,10,2017-May-25
197,197,CHESTERTON DR @ FOUR SEASONS DR,2418,5.35%,66,35,2017-Jul-26
198,198,CHESTERTON DR @ MEADOWLANDS DR,18212,2.81%,415,0,2017-Jan-11
199,199,CHURCHILL AVE @ RICHMOND RD,23167,3.15%,2048,67,2017-Nov-22
200,200,CLANCY ST @ MELDRUM AVE,748,2.43%,44,1,2017-Jan-25
201,201,CLARENDON AVE @ JAVA ST,1426,2.76%,607,38,2017-Nov-22
202,202,CLARINGTON AVE @ VISTAPARK DR,1355,2.18%,59,7,2017-Oct-12
203,203,CLARKE AVE @ BORTHWICK AVE,2341,2.18%,111,18,2017-Nov-21
204,204,CLARKE AVE @ CUMMINGS AVE,4658,3.98%,158,66,2017-Jun-21
205,205,CLEGG ST @ MAIN ST,21199,3.08%,321,28,2017-Dec-14
206,206,CLEMOW AVE @ LYON ST,2017,1.71%,390,6,2017-Mar-07
207,207,CLEMOW AVE @ PERCY ST,3000,1.76%,424,28,2017-Mar-07
208,208,COBBLE HILL DR @ MARAVISTA DR,3675,2.78%,127,7,2017-Mar-28
209,209,COBOURG ST @ OLD ST. PATRICK ST,8540,5.81%,489,91,2017-Nov-23
210,210,COBOURG ST @ ST. PATRICK ST,39707,2.57%,466,503,2017-Sep-20
211,211,COBOURG ST @ ST. PATRICK ST,37506,2.51%,433,414,2017-May-18
212,212,COLONEL BY DR @ ECHO DR S,14848,0.27%,287,1,2017-Feb-10
213,213,COLONEL BY DR @ ECHO DR S,12797,0.17%,585,0,2017-Feb-11
214,214,COLONEL BY DR @ HOG'S BACK RD,29916,0.66%,1,2,2017-Mar-22
215,215,COLONEL BY DR @ LEONARD AVE,14715,0.29%,68,2,2017-Feb-10
216,216,COLONEL BY DR @ LEONARD AVE,12257,0.21%,220,0,2017-Feb-11
217,217,COLONEL BY DR @ MAIN ST,15293,0.24%,114,4,2017-Feb-02
218,218,COLONEL BY DR @ ROSEDALE AVE,14461,0.26%,20,2,2017-Feb-10
219,219,COLONEL BY DR @ ROSEDALE AVE,12281,0.19%,121,0,2017-Feb-11
220,220,COLONEL BY DR @ SENECA ST,12447,0.22%,147,0,2017-Feb-11
221,221,COLONEL BY DR/MACKENZIE AVE @ DALY AVE,22002,1.30%,477,28,2017-Dec-14
222,222,COLONIAL RD @ DUNNING RD,5736,10.30%,2,4,2017-Oct-17
223,223,COLONNADE RD @ MERIVALE RD,47372,3.57%,91,2,2017-Mar-22
224,224,COMO CRES N @ VARENNES BLVD,4103,3.99%,113,32,2017-Sep-20
225,225,CONCORD ST @ MONTCALM ST,510,5.14%,218,7,2017-Feb-02
226,226,CONROY RD @ 212 N OF HUNTCLUB RD,17091,4.30%,190,81,2017-May-18
227,227,CONROY RD @ DAVIDSON RD N,13784,4.51%,2,8,2017-Jun-01
228,228,CONROY RD @ JOHNSTON RD,29320,3.31%,119,74,2017-May-18
229,229,CONROY RD @ QUEENSDALE AVE,12995,4.67%,0,6,2017-Jun-01
230,230,CONROY RD @ ROSEBELLA AVE,12804,3.67%,2,2,2017-Jun-29
231,231,CONROY RD @ ST. LAURENT BLVD,26387,3.00%,352,105,2017-Jun-01
232,232,CONROY RD @ THURSTON DR,28592,3.34%,126,117,2017-May-18
233,233,CONROY RD S @ DAVIDSON RD,13349,4.86%,0,7,2017-Jun-01
234,234,CONSTANCE BAY RD @ DUNROBIN RD,5151,3.28%,0,5,2017-Aug-03
235,235,COOPER ST @ KENT ST,12634,2.72%,2604,154,2017-May-30
236,236,COPE @ TERRY FOX,19827,3.70%,90,39,2017-Jul-12
237,237,CORONATION AVE @ CHOMLEY CRES,3316,5.39%,116,42,2017-Nov-09
238,238,CORONATION AVE @ RUSSELL RD,12737,3.80%,101,52,2017-Jun-01
239,239,CREEK CROSSING ST @ ORLEANS BLVD,5782,4.35%,221,0,2017-Jan-25
240,240,CRESTWAY DR @ LEIKIN DR,8930,2.84%,382,46,2017-May-24
241,241,CRESTWAY DR @ OLDFIELD ST,4762,1.79%,133,1,2017-Nov-22
242,242,CRESTWAY DR @ STRANDHERD DR,31828,2.92%,206,14,2017-Apr-25
243,243,CROWNRIDGE DR @ GRASSY PLAINS DR,5102,4.05%,137,39,2017-Jun-14
244,244,CUMBERLAND ST @ RIDEAU ST,15257,20.49%,7887,197,2017-May-09
245,245,CUMMINGS AVE @ GARDENVALE RD,5777,3.72%,288,42,2017-Jun-21
246,246,CYRVILLE RD @ INNES RD,65044,4.18%,170,55,2017-May-03
247,247,DALY AVE @ WALLER ST,17855,11.69%,1171,59,2017-May-09
248,248,DE L' EGLANTINE ST RUE @ GOLDENROD ST,3305,5.01%,1640,5,2017-Jan-11
249,249,DEAKIN ST @ PRINCE OF WALES DR,27085,0.77%,9,0,2017-Jan-14
250,250,DECARIE DR @ JEANNE D'ARC BLVD,8174,3.81%,250,42,2017-May-09
251,251,"DECOEUR, PROMENADE/SOUTHFIELD WAY @ TENTH LINE RD",10837,5.52%,48,0,2017-Feb-09
252,252,DERBY ST @ VICTORIA ST,4921,1.63%,35,8,2017-Jul-08
253,253,DES EPINETTES AVE @ PRESTWICK DR,9220,3.22%,334,38,2017-May-25
254,254,DEVINE RD @ DUNNING RD,1442,6.95%,2,6,2017-Oct-17
255,255,DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD,8005,4.42%,3,19,2017-May-25
256,256,DORVAL AVE @ PLEASANT PARK RD,4304,2.79%,117,15,2017-Mar-21
257,257,DOW ST @ VICTORIA ST,6237,6.28%,80,12,2017-Sep-21
258,258,DU GRAND BOIS AVE @ INNES RD,38955,3.18%,108,82,2017-Sep-20
259,259,DUFFERIN RD @ LISGAR RD/RIDEAU TER,2656,2.04%,74,214,2017-Jul-06
260,260,DUNDONALD DR @ GREENBANK RD,8154,5.27%,170,16,2017-May-24
261,261,DUNNING RD @ LOOKOUT DR,3863,6.36%,2,2,2017-Mar-02
262,262,DUNNING RD @ OLD MONTREAL RD,5333,6.04%,17,1,2017-Oct-17
263,263,DUNNING RD @ RUSSELL RD,5781,7.36%,0,5,2017-Oct-17
264,264,DUNNING RD @ RUSSLAND RD,2673,3.93%,0,1,2017-Oct-17
265,265,DWYER HILL RD @ ROGER STEVENS DR,4003,5.28%,0,1,2017-Nov-02
266,266,EAGLESON RD @ 240 N OF CADENCE GT/LOBLAWS SC,21668,2.05%,81,6,2017-Apr-11
267,267,EAGLESON RD @ 300 N OF MICHAEL COWPLAND/EAGLES,38463,2.36%,95,2,2017-Dec-21
268,268,EAGLESON RD @ COPE DR/CADENCE GT,27095,1.74%,126,2,2017-Dec-21
269,269,EAGLESON RD @ FERNBANK RD,18695,2.51%,44,6,2017-Apr-11
270,270,EAGLESON RD @ FLEWELLYN RD,14054,4.24%,0,5,2017-Jul-06
271,271,EARL ARMSTRONG RD @ BOWESVILLE RD,6636,1.90%,0,24,2017-Aug-29
272,272,EARL ARMSTRONG RD @ SHORELINE DR,22508,4.46%,53,35,2017-Sep-13
273,273,EARL MULLIGAN DR @ WOODROFFE AVE,42469,1.89%,17,1,2017-Mar-02
274,274,EASTVALE DR @ KENDER AVE,2225,5.89%,131,46,2017-Sep-20
275,275,"EGLISE, RUE DE L @ COLLEGE CIRC",2379,2.07%,122,2,2017-Jan-25
276,276,ELGIN ST @ LAURIER AVE,33026,3.95%,11950,576,2017-Apr-05
277,277,ELIZABETH ST @ OSGOODE MAIN ST,5159,2.91%,27,0,2017-Jan-17
278,278,ELM CRES N @ STITTSVILLE MAIN ST,14008,4.26%,172,6,2017-May-25
279,279,ENTERPRISE AVE @ MERIVALE RD,27224,6.14%,99,0,2017-Jan-11
280,280,ERINBROOK CRES @ FOLKSTONE CRT,117,2.82%,7,3,2017-Jul-06
281,281,EVANS BLVD @ BANK ST,24911,2.70%,275,37,2017-Apr-25
282,282,EVELYN AVE @ MAIN ST,15345,3.41%,363,25,2017-Mar-07
283,283,FALLOWFIELD RD @ LARKIN DR,16935,3.79%,0,0,2017-Nov-02
284,284,FALLOWFIELD RD @ MERIVALE RD,25793,2.75%,0,2,2017-Mar-02
285,285,FALLOWFIELD RD @ ORR ST,17371,3.10%,1,2,2017-Nov-02
286,286,FALLOWFIELD RD @ STEEPLE HILL CRES,17099,4.42%,10,0,2017-Feb-02
287,287,FALLOWFIELD RD @ TRANSITWAY/VIARAIL,27066,5.31%,36,0,2017-Jan-17
288,288,FALLOWFIELD RD @ VIA PARK PL/275 W OF WOODROFFE AVE,31706,3.53%,419,1,2017-Jan-17
289,289,FALLOWFIELD RD @ WOODROFFE AVE,54417,2.20%,13,2,2017-Mar-02
290,290,FENTON RD @ LEITRIM RD,12058,4.87%,3,3,2017-Apr-12
291,291,FERNBANK RD @ SMART CENTRE SC / 235 W OF TERRY FOX DR,11883,2.90%,2,1,2017-Apr-11
292,292,FESSENDEN WAY @ MCCURDY DR,1526,5.37%,22,1,2017-Dec-06
293,293,FINDLAY CREEK DR @ BANK ST,15210,4.80%,37,0,2017-Mar-13
294,294,FISHER AVE @ VIEWMOUNT DR,19338,3.14%,66,4,2017-Jan-11
295,295,FITZGERALD RD @ ROBERTSON RD,29346,2.57%,848,2,2017-Nov-30
296,296,FITZROY ST @ KEDEY ST,833,7.47%,137,12,2017-Jun-14
297,297,FLEWELLYN RD @ SHEA RD,6283,7.07%,0,17,2017-Sep-19
298,298,FLORA ST @ KENT ST,12634,2.72%,2604,154,2017-May-30
